,,,,,
,Reactivos,,,,
,Nombre,Codigo de formato,Grado de pureza,,
,AMONIO NITRATO,3,No viene reflejado,,
,BROMURO DE AMONIO (PARA ANÁLISIS),3,99 %,,
,AZUFRE SUBLIMADO (AZUFRE FLOR),3,Puro,,
,ALUMINIO NITRATO 9-HIDRATO,3,98 %,,
,ACETANILIDA CRISTALIZADA,3,Purísima,,
,AMINOMETANO,6,99 %,,
,ESTAÑO II CLORURO,5,99 %,,
,ÁCIDO TARTÁRICO,4,99 %,,
,ÁCIDO TARTÁRICO,3,99,7 %,
,BIPIRIDINA,10,No viene reflejado,,
,HIDROXIQUINOLEINA,6,98 %,,
,HIDROXIQUINOLEINA,4,99 %,,
,CELITE 545,18,No viene reflejado,,
,REACTIVO DE BENEDICT,13,No viene reflejado,,
,REACTIVO FEHLING-A,14,No viene reflejado,,
,REACTIVO FEHLING-B,14,No viene reflejado,,
,UREA,18,99 %,,
,AMONIO MOLIBDATO 4-HIDRATO,5,99 %,,
,AMONIO OXALATO 1-HIDRATO,4,99,5 %,
,AMONIO OXALATO 1-HIDRATO,3,99 %,,
,PERSULFATO AMÓNICO,18,98 %,,
,AMÓNIO TIOCIANATO,3,99 %,,
,AMÓNIO TIOCIANATO,3,99 %,,
,AMONIO META-VANADATO,5,99 %,,
,CADMIO NITRATO 4-HIDRATO,5,98 %,,
,COBALTO II NITRATO 6-HIDRATO,5,98 %,,
,COBRE (II) NITRATO 3-HIDRATO,4,99 %,,
,ÓXIDO DE COBRE (II),4,95 %,,
,COBRE (II) SULFATO 5-HIDRATO,3,99 %,,
,COBRE (II) SULFATO 5-HIDRATO,18,No viene reflejado,,
,ESTRONCIO NITRATO ANHIDRO,3,98 %,,
,HIERRO (III) CLORURO 6-HIDRATO,3,98 %,,
,HIERRO (III) NITRATO 9-HIDRATO,3,98 %,,
,HIERRO (II) SULFATO ~ 2-HIDRATO,3,80 %,,
,HIERRO (II) SULFATO 7-HIDRATO,3,99,5 %,
,HIERRO (II) SULFATO 7-HIDRATO,3,98 %,,
,LANTANO (III) CLORURO 7-HIDRATO,5,98 %,,
,MANGANESO (IV) ÓXIDO,4,85 %,,
,SULFATO DE MANGANESO 1-HIDRATO,3,Purísima,,
,MANGANESO (II) SULFATO 1-HIDRATO,3,99 %,,
,CARBONATO DE NÍQUEL,18,No viene reflejado,,
,NÍQUEL (II) NITRATO 6-HIDRATO PRS,3,98 %,,
,PLOMO (II) ACETATO 3-HIDRATO,3,99 %,,
,ZINC NITRATO 6-HIDRATO,4,98 %,,
,ÓXIDO DE ZINC,18,98 %,,
,SULFATO DE ZINC 7-HIDRATO,18,Puro,,
,ZINC SULFATO 1-HIDRATO,3,98 %,,
,SODIO CARBONATO 10-HIDRATO,3,99 %,,
,SODIO CARBONATO ANHIDRO,6,Puro,,
,SODIO CARBONATO ANHIDRO,3,Puro,,
,SODIO OXALATO,3,98 %,,
,SODIO SALICILATO,5,99,5 %,
,SODIO SILICATO,13,No viene reflejado,,
,SODIO TUNGSTATO 2-HIDRATO,5,99 %,,
,POTASIO DE BROMURO,4,98 %,,
,POTASIO DE BROMURO,4,99 %,,
,POTASIO DE BROMURO,5,Puro,,
,POTASIO DE BROMURO,5,98 %,,
,POTASIO CARBONATO PRS,3,99 %,,
,POTASIO CLORATO,18,98,5 %,
,OXALATO DE POTASIO 1-HIDRATO,4,99 %,,
,POTASIO OXALATO,3,No viene reflejado,,
,POTASIO BIOXALATO,4,99 %,,
,POTASIO BIOXALATO,3,99 %,,
,PERMANGANATO DE POTASIO,5,No viene reflejado,,
,PERMANGANATO DE POTASIO,6,No viene reflejado,,
,PERMANGANATO DE POTASIO,3,99 %,,
,PERMANGANATO DE POTASIO,18,Puro,,
,POTASIO TIOCIANATO,4,99 %,,
,POTASIO TIOCIANATO,4,98 %,,
,BARIO ACETATO,4,98 %,,
,BARIO HIDRÓXIDO 8-HIDRATO,4,Puro,,
,BARIO HIDRÓXIDO 8-HIDRATO,3,98 %,,
,CALCIO CLORURO ANHIDRO QP,3,95 %,,
,CALCIO CLORURO 2-HIDRATO PRS,1,99 %,,
,CALCIO OXOLATO-1-HIDRATO,4,98 %,,
,CALCIO HIDROXISO,3,95 %,,
,HIDROXIHAMONIO CLORURO,5,99,55 %,
,AMONIO CLORURO,3,100 %,,
,ÁCIDO BENZOICO,4,99,5 %,
,ÁCIDO BENZOICO,3,99,5 %,
,4-DICLOROBENCENO,4,Puro,,
,ÁCIDO 2-CLOROBENZOICO,4,99 %,,
,ÁCIDO 4-CLOROBENZOICO,5,97 %,,
,ÁCIDO 4-AMINOBENZOICO,5,99 %,,
,ÁCIDO 4-NITROBENZOICO,18,99 %,,
,AMONÍACO,13,30 %,,
,ISOBUTANOL,13,99 %,,
,2-BUTANOL,13,99 %,,
,3-METIL-1-BUTANOL SEGÚN GERBER,13,98,5 %,
,CLORAMINA T,5,98 %,,
,CLORAMINA T TRIHIDRATADA,5,99 %,,
,DIMETILGLIOXIMA,4,99 %,,
,ÁCIDO 3,100 g,6,99 %,
,ETILENGLICOL,13,99 %,,
,AMONIO FORMATO,3,99 %,,
,CICLOHEXANOL,18,Purísimo,,
,DICLOROMETANO,13,No viene reflejado,,
,NAFTALENO PRS,4,98 %,,
,NAFTALENO PRS,4,98 %,,
,NAFTALENO,18,Purísimo,,
,1-NAFTILAMINA PS,6,99 %,,
,1-NAFTOL,5,99 %,,
,p-NITROFENOL,6,96 %,,
,p-NITROFENOL,5,96 %,,
,ÁCIDO OXÁLICO 2-HIDRATO,4,99 %,,
,ÁCIDO OXÁLICO,13,No viene reflejado,,
,ÁCIDO OXÁLICO CRISTALIZADO,18,Purísimo,,
,ÁCIDO SULFANÍLICO,5,98 %,,
,TRITÓN X,18,No viene reflejado,,
,ÁCIDO ACÉTICO GLACIAL,13,99,7 %,
,ÁCIDO ACÉTICO GLACIAL,13,99,9 %,
,ÁCIDO ACÉTICO GLACIAL,5 L,12,99,9 %
,ÁCIDO ACÉTICO GLACIAL,15,99,5 %,
,ÁCIDO ACÉTICO,13,99,7 %,
,ANHÍDRICO ACÉTICO,13,98 %,,
,ÁCIDO CLORHÍDRICO,5 L,12,37 %,
,ÁCIDO CLORHÍDRICO,13,37 %,,
,ÁCIDO CLORHÍDRICO,13,37 %,,
,ÁCIDO PERCLÓRICO EN ÁCIDO ACÉTICO,13,No viene reflejado,,
,ÁCIDO PERCLÓRICO,13,60 %,,
,ÁCIDO ORTOFOSFÓRICO,13,85 %,,
,ÁCIDO ORTOFOSFÓRICO,13,85 %,,
,ÁCIDO NÍTRICO,13,65 %,,
,ÁCIDO NÍTRICO,13,65 %,,
,ÁCIDO NÍTRICO,13,70 %,,
,ÁCIDO SULFÚRICO,18,96 %,,
,ÁCIDO SULFÚRICO,13,98 %,,
,ÁCIDO FLUORHÍDRICO,15,No viene reflejado,,
,ÁCIDO FÓRMICO,14,95 %,,
,ÁCIDO ORTO-FOSFÓRICO,13,85 %,,
,REACTIVO DE HANUS,13,No viene reflejado,,
,REACTIVO DE HANUS,13,No viene reflejado,,
,DIETANOLAMINA,16,99 %,,
,CLOROACETILO CLORURO RPE,16,Puro,,
,HEXAMETILENODIAMINA,4,Puro,,
,HEXAMETILENODIAMINA,15,98 %,,
,HEXAMETILENODIAMINA,5,98 %,,
,HEXAMETILENODIAMINA,5,Puro,,
,AMONIO ACETATO,4,98 %,,
,AMONIO ACETATO,5,98 %,,
,AMONIO ACETATO,4,96 %,,
,AMONIO CARBONATO,3,30-34 %,,
,CITRATO DE AMONIO di-BÁSICO,18,98 %,,
,AMONIO HIERRO (III) CITRATO,3,16,5-18,5 %
,AMONIO HIERRO (III) CITRATO,3,16,5-18,5 %
,AMONIO DIHIDRÓGENO FOSFATO,4,98 %,,
,AMONIO DIHIDRÓGENO FOSFATO,4,100,1 %,
,AMONIO SULFATO,7,99,9999 %,
,SULFATO DE HIERRO (III) Y AMONIO 12-HIDRATO,18,Puro,,
,HIERRO (III) Y AMONIO SULFATO 12-HIDRATO,6,Puro,,
,AMONIO DE HIERRO (II) SULFATO 6-HIDRATO,4,98-101 %,,
,AMONIO DE HIERRO (II) SULFATO 6-HIDRATO,3,98-101 %,,
,AMONIO HIERRO (III) SULFATO 12-HIDRATO,3,97-102 %,,
,HIERRO (II) AMONIO SULFATO 6-HIDRATO,4,99-101 %,,
,TARTRATO DE AMONIO,4,99 %,,
,AMONIO TARTRATO,3,98 %,,
,ALUMINIO METAL TROZOS DE LÁMINA,18,Puro,,
,ALUMINIO METAL LIMADURAS,5,No viene reflejado,,
,ALUMINIO METAL LIMADURAS,4,Puro,,
,ALUMINIO METAL GRANALLA,2,Puro,,
,CLORURO ALUMÍNICO,3,Purísimo,,
,ALUMINIO CLORURO 6-HIDRATO,4,Puro,,
,ALUMINIO HIDRÓXIDO,5,90 %,,
,ESMERIL,18,No viene reflejado,,
,ALUMINIO ÓXIDO BÁSICO,3,9,5-10,5 %
,ALUMINIO ÓXIDO BÁSICO,4,9-10,5 %,
,ALUMINIO ÓXIDO BÁSICO,4,9-10 %,,
,ALUMINIO SULFATO 18-HIDRATO,4,No viene reflejado,,
,ALUMINIO SULFATO 12-HIDRATO,4,99 %,,
,ALUMINIO SULFATO 18-HIDRATO,4,98-105 %,,
,ALUMINIO SULFATO 18-HIDRATO,3,51-59 %,,
,LANA DE VIDRIO,3,0,01 %,
,POTASIO ACETATO,3,99 %,,
,POTASIO CLORURO,3,99-100,5 %,
,YODURO POTÁSICO,5,No viene reflejado,,
,POTASIO YODURO,3,99 %,,
,POTASIO YODATO,4,No viene reflejado,,
,POTASIO YODATO,6,No viene reflejado.,,
,POTASIO YODADO,5,99,5 %,
,POTASIO YODADO,3,99,5 %,
,FERRICIANURO POTÁSICO CRIST,18,Puro,,
,POTASIO FERRICIANURO,4,99 %,,
,FERROCIANURO DE POTASIO 3-HIDRATO,18,Puro,,
,POTASIO HEXACIANOFERRATO (II) 3-HIDRATO,3,99,0-102,0 %
,POTASIO HEXACIANOFERRATO (II) 3-HIDRATO,4,98 %,,
,POTASIO HEXACIANOFERRATO (III),18,98 %,,
,HEXACIANOFERRATO (II) DE POTASIO,4,99 %,,
,POTASIO di-HIDRÓGENO FOSFATO,3,99,5 %,
,di-POTASIO HIDROGENOFOSFATO,3,99,8 %,
,POTASIO HIDRÓGENO FTALATO,4,99-101 %,,
,POTASIO NITRATO,3,100,1 %,
,POTASIO NITRATO,7,99 %,,
,POTASIO NITRATO sin antiapelmazante,3,99,0 %,
,POTASIO SULFATO PRS,3,98 %,,
,POTASIO SULFATO,3,99,6 %,
,POTASIO SULFATO,3,99 %,,
,POTASIO SULFATO,3,98 %,,
,POTASIO BISULFATO,4,95 %,,
,CARBONATO CÁLCICO,18,No viene reflejado,,
,ÁCIDO TARTÁRICO,4,99,0 %,
,TARTRATO DE POTASIO,18,Neutro,,
,BITARTRATO DE POTASIO,4,98 %,,
,BITARTRATO DE POTASIO,4,99 %,,
,SOBATO DE POTASIO,4,99 %,,
,SODIO ACETATO ANHIDRO,18,99 %,,
,SODIO TETRATO 2 HIDRATO,4,99 %,,
,SODIO TETRA-BORATO 10 HIDRATO,1 kg,17,No viene reflejado,
,TETRABORATO SODICO,18,No viene reflejado,,
,SODIO TETRA-FENILBORATO,9,99 %,,
,SODIO HIDROGENOCARBONATO,3,99,9 %,
,SODIO HIDROGENOCARBONATO,3,99 %,,
,CARBOXIMETILCELULOSA SAL SODICA,5,99,5 %,
,SODIO FOSFATO MONO-BASICO 2-HIDRATO,5,99,10 %,
,SODIO FOSFATO MONO-BASICO 2-HIDRATO,5,Puro,,
,SODIO FOSFATO MONO-BASICO 1-HIDRATO,4,99 %,,
,SODIO FOSFATO MONO-BASICO 2-HIDRATO,4,99 %,,
,SODIO FOSFATO DI-BASICO ANHIDRATO,4,98 %,,
,SODIO HIDRÓGENO FOSFATO ANHIDRO,3,99 %,,
,FOSFATO TRISÓDICO ANHIDRO,4,No viene reflejado,,
,DI-SODIO HIDRÓGENO FOSFATO ANHIDRO,4,98 %,,
,DI-SODIO HIDRÓGENO FOSFATO ANHIDRO,4,99 %,,
,ÁCIDO ETILENDIAMINOTETRAACÉTICO SAL DISÓDICA 2-HIDRATO,5,99 %,,
,SODIO MOLIBDATO 2-HIDRATO,3,99 %,,
,SODIO MOLIBDATO CRIST,3,99 %,,
,MOLIBDENO (VI) ÓXIDO,5,99 %,,
,SODIO NITRATO,3,99 %,,
,SODIO NITRATO,3,99 %,,
,SODIO HEXANITROCOBALTATO (III),6,No viene reflejado,,
,SODIO SULFATO ANHIDRO,3,No viene reflejado,,
,SODIO DODECILO SULFATO,5,85 %,,
,SODIO SULFATO,3,99 %,,
,SODIO SULFATO 10-HIDRATO,3,No viene reflejado,,
,SODIO SULFATO ANHIDRO,4,Puro,,
,HIERRO METAL,250 g,5,99 %,
,SULFITO DE SODIO ANHIDRO,18,85-90 %,,
,SODIO SULFITO ANHIDRO,3,98 %,,
,BISULFITO SÓDICO ANHIDRO,5,95 %,,
,BISULFITO SÓDICO,18,95 %,,
,meta-BISULFITO DE SODIO,4,95 %,,
,POTASIO SODIO TARTRATO 4-HIDRATO,3,99-102 %,,
,POTASIO SODIO TARTRATO 4-HIDRATO,4,99-102 %,,
,SODIO TIOSULFATO PENTAHIDRATADO,3,99,5-100,5 %
,SODIO TIOSULFATO PENTAHIDRATADO,4,100,2 %,
,WOLFRAMATO SÓDICO,4,No viene reflejado,,
,ACETATO CÁLCICO,18,No viene reflejado,,
,CARBONATO DE CALCIO MARMOL TROCEADO,2,No viene reflejado,,
,MARMOL,18,No viene reflejado,,
,FOSFATO TRICÁLCICO,4,Puro,,
,CALCIO NITRATO 4-HIDRATO,18,98 %,,
,CALCIO NITRATO 2-HIDRATO,4,98 %,,
,CALCIO SULFATO 2-HIDRATO,3,Puro,,
,SULFATO DE CALCIO 2-HIDRATO,18,Puro,,
,SULFATO CÁLCICO CRISTALIZADO,3,Purísimo,,
,COBRE (II) SULFATO 5-HIDRATO,4,99-100,5 %,
,SULFATO DE BARIO,18,Purísimo,,
,SULFATO DE CADMIO,5,No viene reflejado,,
,COBRE METAL VIRUTAS,8,Puro,,
,ESTRONCIO CLORURO,3,No viene reflejado,,
,HIERRO METAL GRANULADO,18,No viene reflejado,,
,HIERRO METAL GRANULADO,7,Puro,,
,LIMADURA DE HIERRO,18,No viene reflejado,,
,GRANALLA DE HIERRO,18,No viene reflejado,,
,HIERRO METAL TORNEADURAS,2,Purísimo,,
,COBRE METAL POLVO,18,No viene reflejado,,
,HIERRO (III) SULFATO,3,75 %,,
,HIERRO (II) SULFURO,No viene reflejado,18,Purísimo,
,HIERRO (II) SULFURO,250 g,5,Puro,
,CLORURO DE CESIO,7,99 %,,
,CARBONATO DE MAGNESIO,18,26 %,,
,MAGNESIO CLORURO 6-HIDRATO,4,99 %,,
,ZINC METAL GRANALLA,4,No viene reflejado,,
,CINC GRANALLA,3,No viene reflejado,,
,ZINC METAL POLVO,4,95 %,,
,ZINC CLORURO,4,97 %,,
,ZINC ACETATO 2-HIDRATO,4,99-101 %,,
,FENOL,3,90 %,,
,FORMALDEHÍDO,13,30 %,,
,FORMALDEHÍDO,3,35-40 %,,
,NITROBENCENO,13,99 %,,
,NITROBENCENO,3,Purísimo,,
,NITROBENCENO,15,Puro,,
,TETRACLORURO DE CARBONO,18,99,8 %,
,DIFENILAMINA,6,99 %,,
,BENZOATO DE ETILO,13,98 %,,
,FORMAMIDA,13,Puro,,
,DIMETIL FORMAMIDA,13,Puro,,
,1,1 L,13,99 %,
,N,1 L,13,99 %,
,GLICINA,6,99,7 %,
,POTASIO CROMATO,4,99-101 %,,
,POTASIO DICROMATO,4,No viene reflejado,,
,POTASIO DICROMATO,2,99,5 %,
,TIOCARBANILIDA,7,No viene reflejado,,
,TIOCARBACILA,18,No viene reflejado,,
,ANILINA,15,99,5 %,
,FENOLFTALEINA,6,99 %,,
,2,100 g,6,99 %,
,SULFATO DE HIDRACINA,18,99 %,,
,HIDROXILAMINA SULFATO,5,99 %,,
,HIDROXILAMINA CLORURO,5,99,5 %,
,HIDROXILAMINA CLORURO,5,99 %,,
,ÁCIDO PICRICO,8,Puro,,
,ÁCIDO BORICO SOLUCIÓN,13,4 %,,
,ÁCIDO BORICO CRISTALIZADO,2,Purísimo,,
,SODIO NITRITO,4,97 %,,
,SELENIO METAL POLVO,7,99 %,,
,LANA DE VIDRO LAVADA,5,1 %,,
,CLORURO DE BARIO di-HIDRATO,4,100,2 %,
,BARIO CLORURO 2-HIDRATO,18,No viene reflejado,,
,BARIO CLORURO 2-HIDRATO,3,99 %,,
,CLORURO DE COBRE (II) 2-HIDRATO,5,Puro,,
,COBALTO (II) CLORURO 6-HIDRATO,5,98 %,,
,CROMO (VI) ÓXIDO,4,99 %,,
,PLOMO (II) NITRATO,18,99 %,,
,PLOMO (II) NITRATO,4,Puro,,
,PLOMO (IV) ÓXIDO,3,95 %,,
,MOLIBDENO (VI) ÓXIDO,5,99 %,,
,SILICAGEL 2,1 Kg,3,27 %,
,HIDROQUINONA,5,No viene reflejado,,
,HIDROQUINONA,5,Purísimo,,
,ÁCIDO SÓRBICO,5,98,5 %,
,ÁCIDO SÓRBICO,6,Puro,,
,ÁCIDO PALMÍTICO,18,No viene reflejado,,
,ÁCIDO CÍTRICO MONOHIDRATADO,3,99,7 %,
,ÁCIDO ETILENDIAMMINOTETRAACETICO SAL DISÓDICA 2-HIDRATO,4,99-101 %,,
,ÁCIDO ETILENDIAMMINOTETRAACETICO SAL DISÓDICA 2-HIDRATO,5,98 %,,
,ÁCIDO ETILENDIAMINOTETRAACÉTICO SAL DISÓDICA DIHIDRATO,3,99-101 %,,
,ÁCIDO CÍTRICO ANHIDRO,3,99,5-100,5 %
,ÁCIDO ASPÁRTICO,4,98,5-101,5 %
,ÁCIDO ASÓRDICO,6,99 %,,
,ÁCIDO ASÓRDICO,6,No viene reflejado,,
,ÁCIDO ASÓRDICO,6,99,7 %,
,ÁCIDO ASÓRDICO,5,99,7 %,
,ÁCIDO ASÓRDICO,4,99-100,5 %,
,ÁCIDO ASÓRDICO,4,99 %,,
,ETIL ACETATO,13,99,5 %,
,1-PROPANOL,13,99,5 %,
,ISO-BUTIRALDEHIDO,13,99 %,,
,SODIO BOROHIDRURO,6,97 %,,
,DL-ALCANFOR,3,Purísimo,,
,TETRACLORURO DE CARBONO,13,99,8 %,
,1,500 mL,14,No viene reflejado,
,BENZALDEHIDO,18,Puro,,
,HEXANO Y ALCOHOL RECUPERADO,18,No viene reflejado,,
,N-HEXANO PARA RECUPERAR,18,No viene reflejado,,
,HEPTANO PARA RECICLAR,13,No viene reflejado,,
,TERT-BUTANOL,13,99 %,,
,ETILO ACETATO,13,99,5 %,
,DICLORO BENCENO,18,No viene reflejado,,
,1-BUTANOL,13,99,5 %,
,2-METIL-2-PROPANOL,13,99 %,,
,BENZALDEHIDO,18,Puro,,
,ALCOHOL AMÍLICO (ISO),13,Puro,,
,CETONA,13,99,5 %,
,ETER DE PETROLEO,13,No viene reflejado,,
,4-METIL-2-PENTANONA,13,99 %,,
,ISOOCTANO,13,99 %,,
,DIFENILAMINA,6,99 %,,
,RESIDUOS TOLUENO,13,No viene reflejado,,
,METANOL,13,99,8 %,
,METANOL,13,99,5 %,
,TETRABUTILAMONIO HIDRÓXIDO,14,No viene reflejado,,
,BENCENO SECO,13,99,8 %,
,2-MERCAPTOETANOL,15,No viene reflejado,,
,N-PETANO,13,95 %,,
,ÉTER ETILICO,12,,100 %,
,TOLUENO,12,,100 %,
,HEXANO,11,95 %,,
,SATURADO DE N-HEXANO,18,No viene reflejado,,
,PIPERIDINA,14,99 %,,
,N-HEXANO,11,97 %,,
,TOLUENO,13,99,5 %,
,PIPERININA,12,99 %,,
,GASOLINA,18,No viene reflejado,,
,SODIO METILATO,13,30 %,,
,2-PROPANOL,13,No viene reflejado,,
,PIPERININA,18,Puro,,
,METANOL,13,No viene reflejado,,
,BENZOLLO CLORURO,13,99 %,,
,DIOXANO,13,98 %,,
,1-BUTANOL,13,99 %,,
,XILENO,13,No viene reflejado,,
,1-PROPANOL,13,99,5 %,
,2-PROPANOL,13,99,5 %,
